Especie,Latitude,Longitude
Carica Papaya,10.22555,-85.12291667
Carica Papaya,10.22555,-85.12293333
Carica Papaya,10.225733,-85.12858333
Carica Papaya,10.22575,-85.12158333
Carica Papaya,10.225817,-85.12853333
Carica Papaya,10.225833,-85.12871667
Carica Papaya,10.225933,-85.12851667
Carica Papaya,10.226,-85.12831667
Carica Papaya,10.226033,-85.12771667
Carica Papaya,10.226033,-85.12883333
Carica Papaya,10.22605,-85.12765
Carica Papaya,10.226083,-85.12775
Carica Papaya,10.226117,-85.12811667
Carica Papaya,10.226117,-85.12848333
Carica Papaya,10.226133,-85.12745
Carica Papaya,10.226133,-85.12818333
Carica Papaya,10.226133,-85.1282
Carica Papaya,10.22615,-85.1286
Carica Papaya,10.226217,-85.1281
Carica Papaya,10.234,-85.26398333
Carica Papaya,10.23455,-85.2613
Carica Papaya,10.234583,-85.26116667
Carica Papaya,10.234633,-85.26148333
Carica Papaya,10.2348,-85.26053333
Carica Papaya,10.2351,-85.25945
Carica Papaya,10.23525,-85.25871667
Carica Papaya,10.235283,-85.2586
Carica Papaya,10.23535,-85.2588
Carica Papaya,10.235433,-85.25836667
Carica Papaya,10.235667,-85.2579
Carica Papaya,10.2358,-85.25755
Carica Papaya,10.23595,-85.25755
Carica Papaya,10.236,-85.25703333
Carica Papaya,10.23615,-85.25713333
Carica Papaya,10.236167,-85.25703333
Carica Papaya,10.236183,-85.25741667
Carica Papaya,10.23625,-85.2573
Carica Papaya,10.236267,-85.25705
Carica Papaya,10.2363,-85.2572
Carica Papaya,10.246067,-85.00601667
Carica Papaya,10.246117,-85.00446667
Carica Papaya,10.246217,-85.0052
Carica Papaya,10.24635,-85.00601667
Carica Papaya,10.246383,-85.0057
Carica Papaya,10.24885,-85.22715
Carica Papaya,10.248967,-85.22751667
Carica Papaya,10.248983,-85.22751667
Carica Papaya,10.2493,-85.22758333
Carica Papaya,10.278967,-85.03068333
Carica Papaya,10.290583,-85.03576667
Carica Papaya,10.3116,-85.04223333
Carica Papaya,10.363717,-85.6717
Carica Papaya,10.363883,-85.67116667
Carica Papaya,10.364283,-85.6708
Carica Papaya,10.3643,-85.66848333
Carica Papaya,10.364333,-85.66851667
Carica Papaya,10.36435,-85.66935
Carica Papaya,10.36455,-85.67083333
Carica Papaya,10.453917,-85.13051667
Carica Papaya,10.454,-85.1306
Carica Papaya,10.454017,-85.13056667
Carica Papaya,10.45405,-85.1306
Carica Papaya,10.454067,-85.1306
Carica Papaya,10.454083,-85.1306
Carica Papaya,10.454433,-85.13096667
Carica Papaya,10.46,-85.13961667
Carica Papaya,10.4615,-85.14485
Carica Papaya,10.461633,-85.14536667
Carica Papaya,10.46255,-85.14783333
Carica Papaya,10.462583,-85.14763333
Carica Papaya,10.4626,-85.14788333
Carica Papaya,10.4626,-85.14798333
Carica Papaya,10.462983,-85.14925
Carica Papaya,10.4635,-85.1384
Carica Papaya,10.464333,-85.15381667
Carica Papaya,10.466033,-85.138
Carica Papaya,10.469333,-85.13741667
Carica Papaya,10.469467,-85.13738333
Carica Papaya,10.470017,-85.13726667
Carica Papaya,10.470983,-85.13696667
Carica Papaya,10.471167,-85.17586667
Carica Papaya,10.4768,-85.19326667
Carica Papaya,10.4791,-85.20776667
Carica Papaya,10.568783,-85.5937
Carica Papaya,10.5688,-85.59361667
Carica Papaya,10.568833,-85.59361667
Carica Papaya,10.568867,-85.59373333
Carica Papaya,10.568867,-85.59375
Carica Papaya,10.58675,-85.65043333
Carica Papaya,10.586783,-85.6519
Carica Papaya,10.586817,-85.65096667
Carica Papaya,10.586817,-85.65171667
Carica Papaya,10.586833,-85.65188333
Carica Papaya,10.58685,-85.65216667
Carica Papaya,10.586933,-85.65218333
Carica Papaya,10.586933,-85.65261667
Carica Papaya,10.586933,-85.65263333
Carica Papaya,10.58695,-85.65246667
Carica Papaya,10.58695,-85.6527
Carica Papaya,10.642533,-85.45383333
Carica Papaya,10.642567,-85.45376667
Carica Papaya,10.752217,-85.51361667
Carica Papaya,10.752233,-85.5136
Carica Papaya,10.78365,-85.53281667
Carica Papaya,10.783667,-85.53276667
Carica Papaya,10.816183,-85.54375
Carica Papaya,10.816283,-85.54371667
Carica Papaya,10.939917,-85.68095
Carica Papaya,10.939933,-85.68086667
Carica Papaya,10.93995,-85.68088333
Carica Papaya,10.940117,-85.68081667
Carica Papaya,10.94015,-85.68081667
Carica Papaya,10.94025,-85.68078333
Carica Papaya,10.940383,-85.68081667
Carica Papaya,10.9404,-85.68123333
Carica Papaya,10.94045,-85.68126667
Carica Papaya,10.94045,-85.6813
Carica Papaya,10.940467,-85.68128333
Carica Papaya,10.940483,-85.68131667
Carica Papaya,10.9405,-85.68118333
Carica Papaya,10.94055,-85.68103333
Carica Papaya,10.94055,-85.68105
Carica Papaya,10.946,-85.65571667
Carica Papaya,10.946,-85.65596667
Carica Papaya,10.946017,-85.65598333
Carica Papaya,10.946717,-85.6575
Carica Papaya,10.9492,-85.65536667
Carica Papaya,11.223433,-85.53828333
Carica Papaya,11.2235,-85.53838333
Carica Papaya,11.223517,-85.53836667
Carica Papaya,11.223533,-85.5382
Carica Papaya,11.2236,-85.53853333
Carica Papaya,11.224033,-85.53906667
Carica Papaya,11.224033,-85.53913333
Carica Papaya,11.224033,-85.53915
Carica Papaya,11.224483,-85.53933333
Carica Papaya,11.224617,-85.53945
Carica Papaya,11.39135,-85.9849
Carica Papaya,11.391367,-85.98463333
Carica Papaya,11.391433,-85.98461667
Carica Papaya,11.391467,-85.98456667
Carica Papaya,11.391483,-85.97508333
Carica Papaya,11.391717,-85.97535
Carica Papaya,11.392283,-85.96196667
Carica Papaya,11.392317,-85.9618
Carica Papaya,11.392333,-85.96181667
Carica Papaya,11.392333,-85.96183333
Carica Papaya,11.392367,-85.9618
Carica Papaya,11.3924,-85.96176667
Carica Papaya,11.392417,-85.96176667
Carica Papaya,11.3926,-85.95165
Carica Papaya,11.3926,-85.96163333
Carica Papaya,11.3926,-85.96165
Carica Papaya,11.392617,-85.96163333
Carica Papaya,11.392633,-85.96165
Carica Papaya,11.611083,-86.05733333
Carica Papaya,11.6111,-86.05726667
Carica Papaya,11.615283,-86.03075
Carica Papaya,11.8595,-86.20031667
Carica Papaya,11.859533,-86.20033333
Carica Papaya,11.875367,-86.19643333
Carica Papaya,11.8754,-86.19636667
Carica Papaya,11.875417,-86.19646667
Carica Papaya,11.875433,-86.19631667
Carica Papaya,11.875433,-86.19638333
Carica Papaya,11.893733,-86.14965
Carica Papaya,11.895467,-86.14885
Carica Papaya,11.904967,-86.17576667
Carica Papaya,11.905017,-85.17661667
Carica Papaya,11.959433,-86.20023333
Carica Papaya,12.033333,-86.516667
Carica Papaya,12.283333,-85.383333
Carica Papaya,12.289533,-86.5868
Carica Papaya,12.289567,-86.58683333
Carica Papaya,12.289833,-86.5868
Carica Papaya,12.289867,-86.5868
Carica Papaya,12.289867,-86.58688333
Carica Papaya,12.289917,-86.58691667
Carica Papaya,12.290533,-86.5868
Carica Papaya,12.290533,-86.58688333
Carica Papaya,12.29055,-86.58675
Carica Papaya,12.290583,-86.58676667
Carica Papaya,12.290583,-86.5868
Carica Papaya,12.582283,-87.00411667
Carica Papaya,12.5823,-87.00411667
Carica Papaya,12.582333,-87.00408333
Carica Papaya,12.58235,-87.0041
Carica Papaya,12.72695,-87.18256667
Carica Papaya,12.72755,-87.18298333
Carica Papaya,12.729,-87.18383333
Carica Papaya,12.729983,-87.18435
Carica Papaya,12.73,-87.18431667
Carica Papaya,12.730783,-87.1849
Carica Papaya,12.730783,-87.18496667
Carica Papaya,12.7309,-87.18483333
Carica Papaya,12.731183,-87.18495
Carica Papaya,12.731433,-87.18503333
Carica Papaya,12.731767,-87.18531667
Carica Papaya,12.7319,-87.1856
Carica Papaya,12.73195,-87.1854
Carica Papaya,12.83415,-86.92061667
Carica Papaya,12.8342,-86.92026667
Carica Papaya,12.834233,-86.92056667
